layer0_smarts,layer1_smarts,layer2_smarts,layer3_smarts,layer4_smarts
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[CH,CH0,F,O,c,n+0,Cl,NH2,NH,N+,N+0H0,C,S,CH3,CH2,s,N+0,o]):[#6]([#1]):[#6](!=!@[N+0H0]):[#6](-[Cl]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[O,N+0H0,NH2,NH,N+,C,CH,CH0,CH3,CH2,n+0,s,N+0,o,S,c,Cl,F]):[#6]([#1]):[#6](!=!@[O]):[#6](!=!@[N+0H0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[CH,CH0,CH3,CH2,n+0,s,Cl,N+0,c,o,F,S,O,N+0H0,NH2,NH,N+,C]):[#6]([#1]):[#6](!=!@[NH2,NH,N+]):[#6](!=!@[O]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2,O,s,Cl,o,c,F,N+0H0,C]):[#6]([#1]):[#6](!=@[C]):[#6](!=!@[N+0H0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[CH,CH0,S,n+0,CH3,CH2,O,s,N+0,o,c,N+0H0,Cl,F,NH2,NH,N+,C]):[#6]([#1]):[#6](!=!:[c]):[#6](!=!@[O]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[o,S,F,N+0H0,O,C,Cl,c,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2,s]):[#6]([#1]):[#6](!=!@[CH,CH0]):[#6](:[o]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,c,n+0,Cl,o,F,O,NH2,NH,N+,N+0H0,CH3,CH2,s,C,N+0,CH,CH0]):[#6]([#1]):[#6](!=!@[N+0H0]):[#6](!=!:[c]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[O,N+0H0,NH2,NH,N+,C,S,CH3,CH2,n+0,s,N+0,o,CH,CH0,c,Cl,F]):[#6]([#1]):[#6](!=!@[CH,CH0]):[#6](!=@[S]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,n+0,CH3,CH2,s,N+0,o,N+0H0,O,c,Cl,F,NH2,NH,N+,C,CH,CH0]):[#6]([#1]):[#6](!=@[O]):[#6](:[n+0,CH3,CH2,c]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[CH3,CH2,n+0,s,Cl,N+0,o,c,CH,CH0,F,S,O,N+0H0,NH2,NH,N+,C]):[#6]([#1]):[#6](!=!@[S]):[#6](-[F]):1"
